ligand	enzyme	model	affinity	dist.rmsd.lb	dist.rmsd.ub	inter	intra	inter_intra	unbound	variant	ZINC	InChI	SMILES	CAS	model_3D	carbon_chain_lenght	term_function	unsaturation_position	unsaturation_orientation	unsaturation2_position	unsaturation2_orientation	chain_name	species	gene	allele
34	Z11-16Ac	HvirCXE24_noSP	34	-4.806	2.69	4.633	-7.499	-2.734	-10.233	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
35	Z11-16Ac	HvirCXE24_noSP	35	-4.786	3.617	6.94	-8.028	-2.169	-10.197	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
36	Z11-16Ac	HvirCXE24_noSP	36	-4.779	3.139	6.103	-7.663	-2.52	-10.182	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
37	Z11-16Ac	HvirCXE24_noSP	37	-4.777	3.633	5.657	-7.732	-2.447	-10.179	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
38	Z11-16Ac	HvirCXE24_noSP	38	-4.741	2.735	4.988	-8.215	-1.897	-10.112	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
39	Z11-16Ac	HvirCXE24_noSP	39	-4.71	2.509	5.033	-8.031	-2.023	-10.054	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
40	Z11-16Ac	HvirCXE24_noSP	40	-4.694	3.029	5.38	-8.52	-1.504	-10.024	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
41	Z11-16Ac	HvirCXE24_noSP	41	-4.689	3.167	5.515	-7.694	-2.32	-10.014	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
42	Z11-16Ac	HvirCXE24_noSP	42	-4.685	2.408	4.113	-8.257	-1.75	-10.007	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
43	Z11-16Ac	HvirCXE24_noSP	43	-4.681	2.738	4.753	-7.535	-2.464	-9.999	-1.213	1	ZINC33840850	InChI=1S/C18H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h6-7H,3-5,8-17H2,1-2H3/b7-6-	CCCC/C=C\CCCCCCCCCCOC(C)=O	34010-21-4	1	16	:OAc	11	Z	None	None	Z11-16	Hvir	CXE24	wt
